sample_id,inputpfda_kernel_pixel_temporal,inputpfda_kernel_balanced,inputpfda_kernel_coarse_temporal,inputpfdb_kernel_pixel_temporal,inputpfdb_kernel_balanced,inputpfdb_kernel_coarse_temporal,output_full_kernel_pixel_temporal,output_full_kernel_balanced,output_full_kernel_coarse_temporal,output_full_old_kernel_pixel_temporal,output_full_old_kernel_balanced,output_full_old_kernel_coarse_temporal,output_nolight_kernel_pixel_temporal,output_nolight_kernel_balanced,output_nolight_kernel_coarse_temporal,output_physics_kernel_pixel_temporal,output_physics_kernel_balanced,output_physics_kernel_coarse_temporal,output_physics_noRandom_method_kernel_pixel_temporal,output_physics_noRandom_method_kernel_balanced,output_physics_noRandom_method_kernel_coarse_temporal,output_physics_noRandom_noTen_method_kernel_pixel_temporal,output_physics_noRandom_noTen_method_kernel_balanced,output_physics_noRandom_noTen_method_kernel_coarse_temporal,output_simple_kernel_pixel_temporal,output_simple_kernel_balanced,output_simple_kernel_coarse_temporal,output_simple_old_kernel_pixel_temporal,output_simple_old_kernel_balanced,output_simple_old_kernel_coarse_temporal,output_simple_timeRandom_method_kernel_pixel_temporal,output_simple_timeRandom_method_kernel_balanced,output_simple_timeRandom_method_kernel_coarse_temporal,outputbaseline_kernel_pixel_temporal,outputbaseline_kernel_balanced,outputbaseline_kernel_coarse_temporal,input_kernel_pixel_temporal,input_kernel_balanced,input_kernel_coarse_temporal,inputefr_kernel_pixel_temporal,inputefr_kernel_balanced,inputefr_kernel_coarse_temporal
redandfull_randomflare_204ms_sample11,1.1278187939067799,1.677101001716224,2.833716082924001,0.19164924043825005,16.27544477415336,18.64013479851197,5.2784193910428,6.257980916033295,8.26718629062213,0.0056529482912530205,0.009259504448013581,0.04314854970844212,0.80188603157843,4.464766915152767,14.271072936842275,5.797357377025159,7.967702924636486,11.014668200018946,3.889577605339962,5.116514987576613,7.301272520419463,2.959614690775884,3.886090404843745,5.137168886474281,3.849093797484123,4.853007943361531,7.576287630640528,4.684154795881445,6.612435760003707,10.051221546036754,7.001422475648448,7.916344764174733,10.497367322842837,11.634471318037129,11.775531320104301,13.435488115905665,1.11322134388967,1.6743396961371448,2.8684219140741876,0.04463102420591315,9.513720792932117,27.962188787005072
redandfull_randomflare_230ms_sample12,1.0844961059835663,1.760031460508866,3.154678855063009,0.20756610540153964,14.554107297546505,16.723181179681124,1.6096518512103888,2.1127888990411177,3.2007818014927403,0.32874068974853365,2.5834745297114527,10.92781329322871,1.4900243995100557,5.890809404438673,16.144712459764637,7.020651910473714,9.851611839080157,12.027973433463323,2.7513840131048566,3.3458315568305776,4.46571766106306,1.329775483105518,2.1247181092478917,2.8974339044015154,5.2735336806048,7.562422691220323,13.916457496189533,6.174185968946301,10.387266270533157,17.579987686328124,6.051237847217307,7.945513706414207,11.341290181253894,10.514390678527976,10.672710621943416,12.211020562998035,1.0904350246965162,1.7833669932058513,3.2297708353154664,0.03268988135103294,8.423444764416953,26.85982803604876
redandfull_randomflare_240ms_sample13,0.9016842141869355,1.555081583366368,3.114857268491937,0.10809313915297213,12.386263444167588,14.30963909799973,5.61179631694586,6.66317866175333,8.437377825646994,5.68138718174125,9.816942802034038,13.14600727685627,0.8842329382409225,3.3550219265408345,10.182309852418932,4.390343540564374,9.871867545496512,14.276056953413947,2.6320422449415735,3.763079893254722,5.879672754039779,1.7685987308336113,2.7652708453388097,3.991870412140313,3.091486259824743,10.235484992308697,16.325165017215294,4.327859700705899,9.84673144441169,16.46095203051283,6.874441352199938,8.009940579925697,9.710397630484676,8.940340264951654,9.061646147571881,10.414429288538642,0.8981470371452216,1.5547626951348552,3.1365246211023425,0.02733980539119996,6.680891232190911,24.753136595453988
redandfull_randomflare_263ms_sample14,1.1017374952234076,1.7942801720570987,3.156288165438566,0.3738240565246299,14.499769996619566,16.646818826348348,6.053355683394187,7.377810238481797,9.393645013806264,0.025681841224286104,0.09819546260426837,0.9352275957838524,1.1857246564684567,4.753688733753867,14.243823189205052,5.118349570102839,6.47562784757041,8.805774940645511,1.0275795498738078,9.640348307629711,15.510528589680108,2.4542724916139154,3.0299065058997057,4.061261017662101,3.3056414881739022,5.024202458411851,8.27283283166913,5.281617692041399,6.734016798807855,10.06918591089777,7.486277982669775,9.240295686637559,12.050893299307333,10.970345546813924,11.110773908962999,12.702622786707646,1.1002297559159397,1.807407086206769,3.218227118706979,0.022220822488989864,8.041351348961479,26.841806233878348
redandfull_randomflare_292ms_sample15,1.1830225154088954,1.8432187210020243,3.0218192076233916,3.0179697822675653,14.945272400941981,17.115597624408075,5.174730984807158,5.993377839172117,7.88333416869541,0.19857341033095846,2.0406519496898654,13.625028785343313,0.39208088829447324,2.2809601709045104,8.402246171521282,6.462395875356235,9.370987568275956,12.488185272363424,2.9150198071083278,3.4408663855984156,4.432153920627044,3.2554728262395147,3.787254642632764,4.85273634166218,5.938465632914729,8.173768860558395,11.600432323666368,6.504346465987889,7.366183354305946,9.236230212380356,6.412310935887192,9.584569635994177,13.893760588437331,11.07528838922757,11.1944137558816,12.774401960867603,1.179807302268167,1.8564296037472745,3.084192403277588,0.03182560599869585,8.603963107965692,27.32465591622844
redandfull_randomflare_310ms_sample16,0.9071462326898847,1.4578235607281302,2.738959216029571,0.1300973118644283,13.552346790852944,15.59376466229241,7.1074578870000344,8.810714958187825,11.816299251006699,1.0141275622524568,3.8780571271829873,9.54557917254246,0.48791785639248275,2.267589012762902,8.756031642369026,0.9380940786793841,7.749259214306712,15.607673920581867,2.999542619316234,3.782355521656921,5.925691562217718,2.40369474176658,3.109776030634869,4.789723880956418,8.083092010197033,10.34346572107414,15.085601850558936,7.225292889565685,11.321322219305566,16.378286199848752,7.207268338350857,14.80968804627209,17.908432015449606,9.844864379635807,9.944023177996867,11.390660570890972,0.8929980362474759,1.4465191032379354,2.7611412214153153,0.02552422266012394,6.858145038917637,25.407896777299033
redandfull_randomflare_324ms_sample17,0.973078797044615,1.4353923442154204,2.5334631310057794,0.18543396473704515,17.349899015840915,19.812624901510496,5.515234157891628,6.444186347308756,8.206440489628111,0.006866186679887297,0.012415992223033747,0.05965974719133834,0.7410257350848148,3.6157706442265347,12.59492356177063,5.3042133160885685,7.044283293114315,9.393226278926994,5.210894347897312,6.8749190133613,9.167211083713811,2.062399634135181,2.6877522533916407,3.7398590897705835,3.874578284299961,5.088293424985199,8.843863873346875,5.6748784268500225,7.971619800455536,11.885350240278902,8.6914968623503,12.148929581718413,15.30416470844761,12.15495414526297,12.326574443397952,14.057880987115006,0.9603075543199092,1.4306388026009051,2.562476514512909,0.028840649682277193,9.494082512189756,28.31627428354133
redandfull_randomflare_351ms_sample18,1.0826256711987698,1.7703099986226494,3.1776491519692325,2.2697773238129373,14.380717299532654,16.506180497661738,3.465109470841944,4.418982164156494,6.494975449674744,0.06529773694852606,1.920507079660144,14.867449045173034,1.350953915190264,6.293782036886564,17.253785713966145,5.423669451800115,7.496477635652789,10.367470668784621,2.9092678776469922,3.4711498308855697,4.516987876321012,1.3675451621226238,1.8247061505551747,2.8764794897169774,5.642206889089047,7.4087655732045725,10.878847291916022,4.763249299243871,6.329047777326061,9.005647048621668,6.154296873228071,8.59796467686745,13.828375469128506,10.804903110333688,10.969419109575098,12.550622560572641,1.0894096742336408,1.8005515598564525,3.265193816669831,0.02361042485441567,6.61999323886456,27.179335992624452
redandfull_randomflare_376ms_sample19,1.1012259402097722,1.8006824533425396,3.1816885450730825,2.059668463902311,14.463012710784454,16.58244088575977,5.534783993436079,9.664458916910387,12.488410129033381,0.009610325798573828,0.02463513193653684,0.18305891071671918,0.9811337854751966,5.050596912216626,15.481563252951634,0.07857167539631164,0.44360067077080756,1.8977635195526863,10.075062928796441,11.76342474765337,14.370447934535777,4.691025536832478,6.538413840507357,9.309046800020337,0.8920946703294468,6.155504559507995,18.783833759999386,11.935840150864296,13.518513746385624,16.288300362857207,6.036883618585912,11.902786422124501,15.66981752004638,11.155519682327567,11.305284306459201,12.924319392932187,1.1092144619615814,1.8324388201739812,3.2692450054897293,,,
redandfull_randomflare_380ms_sample20,1.0367695512755548,1.6984211970472678,3.0953400656033585,0.17228526666297075,14.132708097475263,16.24585513577792,2.207741694288316,2.760478757799399,3.930614472149926,1.149354233016343,8.350712001053784,17.3107344210615,1.1432955442083805,4.979540009701571,15.025825034389943,6.671404766342981,9.30803047968035,11.434254219248057,2.702307033824072,3.4330280761147987,4.776758780996559,1.2965858185921644,1.8964150888934477,2.693706913232373,4.598833146904226,6.309161376459878,12.101407293807101,5.931576400631909,9.980468955816354,16.312986285879195,5.321228791198689,7.85342267186979,11.462583973736123,10.303531490486508,10.44637570587858,11.95905020057419,1.04450993558062,1.7270539640437095,3.1820429080173525,0.014957744460712841,7.106637901988405,26.786049324288463
