sample_id,inputefr_chamfer_distance,inputefr_gaussian_distance,inputefr_voxel_mse,inputefr_pmse_2,inputefr_pmse_4,inputefr_rf1,inputefr_tf1,inputefr_tpf1,inputefr_event_count_ratio,inputefr_temporal_overlap
redandfull_randomflare_292ms_sample15,0.9791368431337738,0.5734103058061178,0.3380224585533142,0.13342749029397966,0.12453427165746689,0.12951567247242193,0.26307005593094984,0.35237361596019817,0.6568373691877534,0.9926899268992689
redandfull_randomflare_310ms_sample16,1.1885263932986936,0.6784262253446677,0.18300879299640654,0.07079349830746651,0.0657488964498043,0.09832210689486584,0.20027866470277927,0.2585281090374601,0.8520189146479539,0.9848496969939399
redandfull_randomflare_324ms_sample17,0.9999401346742718,0.5760500789609319,0.3020635604858398,0.11720714420080185,0.1092922642827034,0.12294874258924275,0.2693037527581611,0.35145380645478524,0.6136902979990386,0.9905899058990589
redandfull_randomflare_351ms_sample18,1.100918204924671,0.6371259527461253,0.34324454665184023,0.12960250973701476,0.11976178735494614,0.07950769394650038,0.22794219476032382,0.30444748644458575,0.7467226123337897,0.9961999619996199
redandfull_randomflare_376ms_sample19,1.0886739547840116,0.6363664792935989,0.36855875253677367,0.14473494589328767,0.13504935204982757,0.09086540562228831,0.22326437435017166,0.2986975004978022,0.7191148276939738,0.9953599071981439
redandfull_randomflare_380ms_sample20,1.1103852213114305,0.6474272666856432,0.37283756136894225,0.14475260376930238,0.1348321720957756,0.11245911138388805,0.23600986448302513,0.31542936198899574,0.8246822067175046,0.995689956899569
redandfull_sixflare_113ms_sample6,0.9829750833441546,0.5619074171795805,0.21764966249465942,0.08775648027658463,0.08211139589548111,0.13551035302663697,0.25633772383103387,0.33108141537858726,0.6706253057488072,0.9964699293985879
redandfull_sixflare_12ms_sample1,0.9742043947362344,0.5692610738841599,0.3230737268924713,0.13291554749011994,0.12566148936748506,0.13789768230683988,0.2804155087811595,0.36529358629598746,0.6169886905343799,0.994419944199442
redandfull_sixflare_137ms_sample7,1.0197217125374352,0.5984023453217635,0.3446176052093506,0.13980972468852998,0.1317240685224533,0.12431775725682206,0.2694490296459287,0.3565822737446199,0.6625699788292537,0.995709914198284
redandfull_sixflare_141ms_sample8,1.3184757462558798,0.7492762926888631,0.18559855371713638,0.07049384713172913,0.06491866260766983,0.061062841598966855,0.18091936731963074,0.23837927621096783,1.2097573061729658,0.995079950799508
redandfull_sixflare_168ms_sample9,1.140337670252326,0.6573173819242972,0.20358129739761352,0.080477873980999,0.07488603070378304,0.109835238511286,0.223107002223096,0.29307434665566523,0.912221700523647,0.997729977299773
redandfull_sixflare_180ms_sample10,1.236387214910127,0.7111487607239438,0.23357535898685455,0.09307651817798615,0.08704793453216553,0.09848611640692871,0.2092130073813238,0.27535787463096323,1.0834749874152811,0.99229992299923
redandfull_sixflare_20ms_sample2,1.2073901850280975,0.6891497712005388,0.4310034215450287,0.17313138544559478,0.1622847855091095,0.10557568970169615,0.22911453326684486,0.3083627987429581,1.0462628302871961,0.9934499344993449
redandfull_sixflare_45ms_sample3,0.9383515578564218,0.5494524467625791,0.3061046600341797,0.1264752209186554,0.11960628032684326,0.1377374795688173,0.2739981083607313,0.3541074140332,0.5616241778901424,0.992229922299223
redandfull_sixflare_64ms_sample4,1.054996193115702,0.5972468064515666,0.3457013428211212,0.13858854323625563,0.12968360334634782,0.11956857016910764,0.26218129557984204,0.3485339385632203,0.7989937053331041,0.9930798615972319
redandfull_sixflare_94ms_sample5,1.0586458215872283,0.6006317976868732,0.3383424460887909,0.13632002621889114,0.1275709554553032,0.12382997300366778,0.2586433548931537,0.34155772637435,0.7707271844231534,0.994749947499475
AVERAGE,1.8190511588959062,0.7266078560365671,0.33883490853144654,0.14033198868772678,0.13300651416856063,0.083935442137259,0.18068503868126357,0.2371677878614255,9.953814672664452,0.9932345027762212
